temperature_2m_max,precipitation_probability_max,pressure_msl,longitude,latitude,wind_direction_10m_dominant,temperature_2m_min
28.9,20,1003.1833333333334,84.125,6.25,277,28.3
27.8,93,1003.3041666666668,84.375,6.25,260,25.9
28.0,73,1003.4416666666666,84.625,6.25,334,27.4
29.0,70,1003.5625,84.875,6.25,319,27.2
29.1,98,1003.8458333333332,85.125,6.25,291,27.2
29.1,53,1004.0083333333332,85.375,6.25,301,27.9
29.1,19,1004.2166666666668,85.625,6.25,276,28.5
28.1,98,1004.4666666666668,85.875,6.25,270,25.8
28.1,73,1004.675,86.125,6.25,337,27.4
29.0,68,1004.8083333333334,86.375,6.25,320,27.2
29.0,93,1004.9708333333332,86.625,6.25,288,27.0
29.1,70,1005.2333333333332,86.875,6.25,302,27.8
29.1,28,1005.375,87.125,6.25,276,28.5
28.0,93,1005.5541666666668,87.375,6.25,324,25.5
28.3,65,1005.7625,87.625,6.25,338,26.8
28.9,38,1005.8708333333334,87.875,6.25,312,27.1
28.9,58,1006.0541666666668,88.125,6.25,282,27.0
29.0,48,1006.1666666666666,88.375,6.25,300,27.5
29.0,35,1006.3791666666666,88.625,6.25,279,28.2
26.0,93,1005.45,80.0,6.375,355,24.7
28.0,65,1008.9625,68.875,6.5,312,24.0
28.3,38,1008.9166666666666,69.125,6.5,291,25.1
30.9,58,1008.8791666666666,69.375,6.5,272,26.4
31.5,48,1008.8625,69.625,6.5,280,25.8
30.0,35,1008.7916666666666,69.875,6.5,276,26.4
26.0,88,1008.7541666666666,70.125,6.5,355,24.7
28.0,75,1008.7291666666666,70.375,6.5,312,24.0
28.3,38,1008.6791666666668,70.625,6.5,291,25.1
30.9,63,1008.5916666666668,70.875,6.5,272,26.4
31.5,18,1008.4958333333334,71.125,6.5,280,25.8
30.0,10,1008.45,71.375,6.5,276,26.4
27.2,93,1008.3875,71.625,6.5,356,25.6
28.6,88,1008.3208333333332,71.875,6.5,343,25.6
29.3,38,1008.2916666666666,72.125,6.5,320,26.5
29.2,53,1008.2666666666668,72.375,6.5,261,27.5
28.5,23,1008.2291666666666,72.625,6.5,271,27.1
28.9,18,1008.1666666666666,72.875,6.5,266,27.7
27.4,93,1008.1291666666666,73.125,6.5,352,25.5
27.8,88,1008.1,73.375,6.5,341,25.3
29.5,38,1008.0666666666666,73.625,6.5,324,27.0
29.2,53,1008.0375,73.875,6.5,255,27.8
28.5,23,1007.9666666666668,74.125,6.5,256,26.9
29.0,18,1007.8875,74.375,6.5,257,27.9
27.0,93,1007.8375,74.625,6.5,351,25.8
27.6,88,1007.7916666666666,74.875,6.5,340,25.5
29.4,38,1007.6958333333332,75.125,6.5,326,27.2
28.9,53,1007.6583333333332,75.375,6.5,255,27.9
28.4,23,1007.6166666666668,75.625,6.5,251,26.9
29.1,18,1007.5375,75.875,6.5,253,28.0
26.8,93,1007.4958333333334,76.125,6.5,351,25.8
27.3,100,1007.4541666666668,76.375,6.5,340,26.0
29.1,35,1007.3791666666666,76.625,6.5,328,26.5
29.3,63,1007.3625,76.875,6.5,255,27.5
28.6,33,1007.3583333333332,77.125,6.5,241,25.9
29.0,10,1007.2875,77.375,6.5,244,28.1
26.6,93,1007.225,77.625,6.5,350,25.8
27.3,100,1007.1416666666668,77.875,6.5,340,26.1
28.6,48,1007.0125,78.125,6.5,330,26.4
29.3,65,1006.925,78.375,6.5,269,27.1
28.6,43,1006.75,78.625,6.5,240,25.5
28.8,18,1006.5375,78.875,6.5,243,28.2
26.8,100,1006.4083333333332,79.125,6.5,350,25.8
27.1,100,1006.1291666666666,79.375,6.5,341,26.0
29.1,48,1005.9541666666668,79.625,6.5,329,26.2
29.3,68,1005.5041666666666,80.125,6.5,279,27.3
28.5,45,1005.95,80.5,6.5,238,26.0
28.8,13,1004.5166666666668,80.625,6.5,240,28.3
26.9,100,1003.1458333333334,80.875,6.5,353,25.8
27.1,100,1003.15,81.125,6.5,341,26.2
29.4,63,1002.9166666666666,81.375,6.5,330,26.9
28.6,75,1002.7666666666668,81.625,6.5,283,26.9
28.8,58,1002.6416666666668,82.125,6.5,235,26.4
28.9,23,1002.6458333333334,82.375,6.5,234,28.5
26.9,100,1002.5791666666668,82.625,6.5,355,25.8
27.4,100,1002.5666666666666,82.875,6.5,342,26.5
29.2,93,1002.575,83.125,6.5,332,27.1
28.4,75,1002.5458333333332,83.375,6.5,283,27.1
28.9,73,1002.6291666666666,83.625,6.5,225,26.8
29.0,28,1002.8458333333332,83.875,6.5,225,28.2
26.4,100,1002.9583333333334,84.125,6.5,353,24.6
26.4,100,1003.1083333333332,84.375,6.5,336,25.5
28.6,93,1003.2333333333332,84.625,6.5,327,26.1
27.6,75,1003.5125,84.875,6.5,263,25.7
29.2,73,1003.7125,85.125,6.5,211,25.0
29.9,28,1003.8958333333334,85.375,6.5,214,26.3
25.2,100,1004.1875,85.625,6.5,347,23.7
25.4,100,1004.3625,85.875,6.5,325,24.2
25.8,78,1004.5208333333334,86.125,6.5,312,24.2
25.1,65,1004.7291666666666,86.375,6.5,225,23.8
28.6,73,1004.9791666666666,86.625,6.5,206,23.7
30.1,23,1005.1791666666668,86.875,6.5,204,24.2
25.0,98,1005.3166666666666,87.125,6.5,350,23.5
25.3,100,1005.4416666666666,87.375,6.5,315,24.1
25.6,80,1005.6916666666666,87.625,6.5,295,24.2
25.3,63,1005.8291666666668,87.875,6.5,227,23.4
27.7,78,1006.0,88.125,6.5,212,23.5
30.5,18,1006.1833333333334,88.375,6.5,212,24.2
25.0,98,1006.2875,88.625,6.5,351,23.3
25.0,100,1005.6875,80.25,6.625,302,23.7
25.2,68,1002.75,81.75,6.625,284,23.7
25.2,58,1008.9541666666668,68.875,6.75,247,23.4
28.0,73,1008.9458333333332,69.125,6.75,231,23.6
30.8,15,1008.9125,69.375,6.75,222,24.1
25.5,100,1008.85,69.625,6.75,341,23.4
25.3,100,1008.8291666666668,69.875,6.75,295,23.8
25.4,70,1008.8083333333334,70.125,6.75,282,24.1
26.1,40,1008.7416666666668,70.375,6.75,259,23.9
29.0,30,1008.6791666666668,70.625,6.75,244,24.3
31.2,13,1008.6041666666666,70.875,6.75,230,24.7
26.7,100,1008.5041666666666,71.125,6.75,335,24.3
26.0,100,1008.4583333333334,71.375,6.75,288,24.6
26.7,63,1008.4,71.625,6.75,277,24.9
